Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	ParentNicolas	Parent, Nicolas	M	1982	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	BuystKim	Buyst, Kim	F	1976	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	TroostersFrank	Troosters, Frank	M	1970	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2022-01-18-definitief-55-commissie-ic659x	ParlaMint-BE_2022-01-18-definitief-55-commissie-ic659x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2022	2022-01-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	ParentNicolas	Parent, Nicolas	M	1982	
