Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	SafaiDarya	Safai, Darya	F	1975	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GilsonNathalie	Gilson, Nathalie	F	1965	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GilsonNathalie	Gilson, Nathalie	F	1965	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	PlatteauEva	Platteau, Eva	F	1982	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	SegersBen	Segers, Ben	M	1982	
ParlaMint-BE-en_2022-03-16-voorlopig-55-commissie-ic727x	ParlaMint-BE_2022-03-16-voorlopig-55-commissie-ic727x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-03-2022	2022-03-16	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
