Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VerreytHans	Verreyt, Hans	M	1980	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	AnseeuwBjörn	Anseeuw, Björn	M	1976	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	MoscufoNadia	Moscufo, Nadia	F	1963	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	DermagnePierreYves	Dermagne, Pierre-Yves	M	1980	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VerreytHans	Verreyt, Hans	M	1980	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	AnseeuwBjörn	Anseeuw, Björn	M	1976	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	MoscufoNadia	Moscufo, Nadia	F	1963	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2022-05-24-voorlopig-55-commissie-ic794x	ParlaMint-BE_2022-05-24-voorlopig-55-commissie-ic794x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-05-2022	2022-05-24	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
