Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	AlexandravanHuffelen	van Huffelen, Alexandra	F	1968	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-05-27-tweedekamer-2	ParlaMint-NL_2020-05-27-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 2 (2020-05-27)	2020-05-27	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 75	Sitting 2020-05-27	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
