Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u1	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u2	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u3	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnneKuik	Kuik, Anne	F	1987	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u4	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u5	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnneKuik	Kuik, Anne	F	1987	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u6	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u7	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnneKuik	Kuik, Anne	F	1987	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u8	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u9	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2020-01-28-tweedekamer-28	ParlaMint-NL_2020-01-28-tweedekamer-28.u10	Report of the meeting of the Dutch Lower House, Meeting 46, Session 28 (2020-01-28)	2020-01-28	Lower house	Meeting of the 29th Tweede Kamer	Session 28	Meeting 46	Sitting 2020-01-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
