Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	CorinneEllemeet	Ellemeet, Corinne	F	1976	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	CorinneEllemeet	Ellemeet, Corinne	F	1976	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u12	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u13	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	CorinneEllemeet	Ellemeet, Corinne	F	1976	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u14	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u15	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u16	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u17	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u18	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u19	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u20	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u21	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2020-12-03-tweedekamer-11	ParlaMint-NL_2020-12-03-tweedekamer-11.u22	Report of the meeting of the Dutch Lower House, Meeting 33, Session 11 (2020-12-03)	2020-12-03	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 33	Sitting 2020-12-03	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
