Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2020-02-11-tweedekamer-5	ParlaMint-NL_2020-02-11-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2020-02-11)	2020-02-11	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 52	Sitting 2020-02-11	-	COVID	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
