Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u1	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u2	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u3	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonyvanDijck	van Dijck, Tony	M	1963	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u4	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u5	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonyvanDijck	van Dijck, Tony	M	1963	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u6	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u7	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AukjedeVries	de Vries, Aukje	F	1964	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u8	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MahirAlkaya	Alkaya, Mahir	M	1988	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u9	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AukjedeVries	de Vries, Aukje	F	1964	
ParlaMint-NL-en_2020-09-29-tweedekamer-27	ParlaMint-NL_2020-09-29-tweedekamer-27.u10	Report of the meeting of the Dutch Lower House, Meeting 7, Session 27 (2020-09-29)	2020-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 7	Sitting 2020-09-29	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MahirAlkaya	Alkaya, Mahir	M	1988	
