Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BartvanKent	van Kent, Bart	M	1983	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RoaldvanderLinde	van der Linde, Roald	M	1968	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ChrisStoffer	Stoffer, Chris	M	1974	
ParlaMint-NL-en_2020-07-14-tweedekamer-3	ParlaMint-NL_2020-07-14-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2020-07-14)	2020-07-14	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2020-07-14	-	COVID	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	GijsvanDijk	van Dijk, Gijs	M	1980	
