Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΖΟΜΠΟΛΗ-ΑΜΑΝΑΤΙΔΗ_ΓΕΩΡΓΙΟΥ_ΠΑΝΑΓΙΩΤΑ	Kozompolī Amanatidī, Panagiōta	F	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΖΟΜΠΟΛΗ-ΑΜΑΝΑΤΙΔΗ_ΓΕΩΡΓΙΟΥ_ΠΑΝΑΓΙΩΤΑ	Kozompolī Amanatidī, Panagiōta	F	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΡΑΓΑΚΗΣ_ΠΑΝΑΓΙΩΤΗ_ΙΩΑΝΝΗΣ	Tragakīs, Iōannīs	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΠΑΠΑΘΕΟΔΩΡΟΥ_ΠΑΝΑΓΙΩΤΗ_ΘΕΟΔΩΡΟΣ	Papatheodōroy, Theodōros	M	-	
ParlaMint-GR-en_2019-02-05-S1-commons	ParlaMint-GR_2019-02-05-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 69, 2019-02-05	2019-02-05	Unicameralism	17	4	-	69	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
