Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	Opposition	Centre to centre-right	MaingainOlivier	Maingain, Olivier	M	1958	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x	ParlaMint-BE_2014-10-15-54-plenair-ip010x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2014	2014-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 010 van 15-10-2014	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
