Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OndrejPolansky.1984	Polanský, Ondřej	M	1984	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OndrejPolansky.1984	Polanský, Ondřej	M	1984	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2020-12-18-ps2017-072-08-005-341	ParlaMint-CZ_2020-12-18-ps2017-072-08-005-341.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-12-18	2020-12-18	Lower house	ps2017	-	ps2017/072	ps2017/072/08	ps2017/072/341	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
