Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	IvanBartos.1980	Bartoš, Ivan	M	1980	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	IvanBartos.1980	Bartoš, Ivan	M	1980	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-06-04-ps2017-050-02-003-003	ParlaMint-CZ_2020-06-04-ps2017-050-02-003-003.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-04	2020-06-04	Lower house	ps2017	-	ps2017/050	ps2017/050/02	ps2017/050/003	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JanLipavsky.1985	Lipavský, Jan	M	1985	
