Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Regular	notMP	Minister	-	-	-	-	JanaMalacova.1981	Maláčová, Jana	F	1981	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-09-15-ps2017-058-01-001-048	ParlaMint-CZ_2020-09-15-ps2017-058-01-001-048.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-09-15	2020-09-15	Lower house	ps2017	-	ps2017/058	ps2017/058/01	ps2017/058/048	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
