Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	PavelRuzicka.1970	Růžička, Pavel	M	1970	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PavelZacek.1969	Žáček, Pavel	M	1969	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-06-17-ps2017-049-09-004-217	ParlaMint-CZ_2020-06-17-ps2017-049-09-004-217.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-06-17	2020-06-17	Lower house	ps2017	-	ps2017/049	ps2017/049/09	ps2017/049/217	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
