Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanChvojka.1980	Chvojka, Jan	M	1980	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-07-07-ps2017-054-01-000-000	ParlaMint-CZ_2020-07-07-ps2017-054-01-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-07-07	2020-07-07	Lower house	ps2017	-	ps2017/054	ps2017/054/01	ps2017/054/000	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
