Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	MahničŽan	Mahnič, Žan	M	1990	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	MahničŽan	Mahnič, Žan	M	1990	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-05-05-SDZ7-Izredna-31	ParlaMint-SI_2016-05-05-SDZ7-Izredna-31.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 31, (05. 05. 2016)	2016-05-05	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	Minister	SD	Social Democrats	Coalition	Centre-left	KatičAndreja	Katič, Andreja	F	1969	
