Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Guest	MP	notMinister	-	-	-	-	FrantisekBublan.1951	Bublan, František	M	1951	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Guest	MP	notMinister	-	-	-	-	FrantisekBublan.1951	Bublan, František	M	1951	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Guest	MP	notMinister	-	-	-	-	KarelKratochvile.1958	Kratochvíle, Karel	M	1958	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	FrantisekLaudat.1960	Laudát, František	M	1960	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanPilny.1944	Pilný, Ivan	M	1944	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2016-06-28-ps2013-048-01-003-001	ParlaMint-CZ_2016-06-28-ps2013-048-01-003-001.u14	Parliament of the Czech Republic, Chamber of Deputies, 2016-06-28	2016-06-28	Lower house	ps2013	-	ps2013/048	ps2013/048/01	ps2013/048/001	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
