Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	MarekCernoch.1969	Černoch, Marek	M	1969	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-03-22-ps2013-042-09-002-221	ParlaMint-CZ_2016-03-22-ps2013-042-09-002-221.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-03-22	2016-03-22	Lower house	ps2013	-	ps2013/042	ps2013/042/09	ps2013/042/221	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
