Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-11-30-ps2013-053-02-003-005	ParlaMint-CZ_2016-11-30-ps2013-053-02-003-005.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-30	2016-11-30	Lower house	ps2013	-	ps2013/053	ps2013/053/02	ps2013/053/005	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MichalKucera.1968	Kučera, Michal	M	1968	
