Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-05-26-ps2013-047-03-001-231	ParlaMint-CZ_2016-05-26-ps2013-047-03-001-231.u12	Parliament of the Czech Republic, Chamber of Deputies, 2016-05-26	2016-05-26	Lower house	ps2013	-	ps2013/047	ps2013/047/03	ps2013/047/231	Reference	English	Regular	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
