Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	CiglerŽeljko	Cigler, Željko	M	1958	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	SukičNataša	Sukič, Nataša	F	1962	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Opposition	Centre-left	KociperMaša	Kociper, Maša	F	1972	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-17-SDZ8-Izredna-53	ParlaMint-SI_2020-12-17-SDZ8-Izredna-53.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 53, (17. 12. 2020)	2020-12-17	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
