Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Guest	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u12	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	IvanBartos.1980	Bartoš, Ivan	M	1980	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u13	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u14	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-06-04-ps2017-030-05-000-000	ParlaMint-CZ_2019-06-04-ps2017-030-05-000-000.u15	Parliament of the Czech Republic, Chamber of Deputies, 2019-06-04	2019-06-04	Lower house	ps2017	-	ps2017/030	ps2017/030/05	ps2017/030/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
