Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KarelTurecek.1971	Tureček, Karel	M	1971	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KarelTurecek.1971	Tureček, Karel	M	1971	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	EvaFialova.1982	Fialová, Eva	F	1982	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	VlastimilValek.1960	Válek, Vlastimil	M	1960	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2019-09-13-ps2017-034-04-004-215	ParlaMint-CZ_2019-09-13-ps2017-034-04-004-215.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-09-13	2019-09-13	Lower house	ps2017	-	ps2017/034	ps2017/034/04	ps2017/034/215	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
