Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Regular	MP	notMinister	frSN	Servant of the People Faction	Coalition	Centre	АндрійВікторовичМотовиловець.1982	Motovylovec', Andrij Viktorovyč	M	1982	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Regular	MP	notMinister	frES	European Solidarity Faction	Opposition	Centre-right	ІринаВолодимирівнаГеращенко.1971	Heraščenko, Iryna Volodymyrivna	F	1971	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Regular	MP	notMinister	frHolos	Holos Faction	Opposition	Centre-right	РоманМихайловичЛозинський.1994	Lozyns'kyj, Roman Mychajlovyč	M	1994	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Regular	MP	notMinister	UKROP	Ukrainian Association of Patriots (UKROP)	-	Syncretic politics	ТарасІвановичБатенко.1974	Batenko, Taras Ivanovyč	M	1974	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2020-07-13-m0	ParlaMint-UA_2020-07-13-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 3, sitting day 2020-07-13, n0	2020-07-13	Unicameralism	9	3	-	2020-07-13	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ВасильОлександровичШкураков.1982	Škurakov, Vasyl' Oleksandrovyč	M	1982	
