Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PočivalšekZdravko	Počivalšek, Zdravko	M	1957	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	GučekZakošekMargareta	Guček Zakošek, Margareta	F	1970	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	KrivecDanijel	Krivec, Danijel	M	1965	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	ZaAB	Alliance of Alenka Bratušek	Opposition	Centre-left	BratušekAlenka	Bratušek, Alenka	F	1970	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	CerarMiro	Cerar, Miro	M	1963	
ParlaMint-SI-en_2015-06-15-SDZ7-Redna-09	ParlaMint-SI_2015-06-15-SDZ7-Redna-09.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 9, (15. 06. 2015)	2015-06-15	Lower house	7. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
