Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	TašnerVatovecMatej	Tašner Vatovec, Matej	M	1983	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	HorvatMitja	Horvat, Mitja	M	1961	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MramorDušan	Mramor, Dušan	M	1953	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	JuršaFranc	Jurša, Franc	M	1953	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	TašnerVatovecMatej	Tašner Vatovec, Matej	M	1983	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
ParlaMint-SI-en_2015-07-17-SDZ7-Izredna-16	ParlaMint-SI_2015-07-17-SDZ7-Izredna-16.ana.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 16, (17. 07. 2015)	2015-07-17	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
