Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u1	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u2	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u3	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u4	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	notMP	notMinister	V	Viðreisn	-	Centre-right	ThomasMoller	Möller, Thomas	M	1954	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u5	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u6	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	HalldorSvansson	Svansson, Halldór Auðar	M	1979	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u7	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	IngaSaeland	Sæland, Inga	F	1959	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u8	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	HildurSverrisdottir	Sverrisdóttir, Hildur	F	1978	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u9	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2022-02-08-35	ParlaMint-IS_2022-02-08-35.u10	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-35, 08.02.2022.	2022-02-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	SigmarGudmundsson	Guðmundsson, Sigmar	M	1969	
