Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u1	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u2	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u3	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u4	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u5	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u6	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u7	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	TimoHarakka	Harakka, Timo	M	1962	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u8	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u9	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u10	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-12-ps-136	ParlaMint-FI_2017-12-12-ps-136.u11	Minutes of the Finnish Parliament's plenary session 136/2017, 2017-12-12	2017-12-12	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 136	2017-12-12	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
