Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΑΝΤΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΧΡΗΣΤΟΣ	Mantas, Chrīstos	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Regular	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΑΜΥΡΑΣ_ΣΤΥΛΙΑΝΟΥ_ΓΕΩΡΓΙΟΣ	Amyras, Geōrgios	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΟΥΤΣΟΥΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΓΙΑΝΝΗΣ	Koytsoykos, Giannīs	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΑΝΤΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΧΡΗΣΤΟΣ	Mantas, Chrīstos	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΠΑΛΑΟΥΡΑΣ_ΔΗΜΗΤΡΙΟΥ_ΓΕΡΑΣΙΜΟΣ	Mpalaoyras, Gerasimos	M	-	
ParlaMint-GR-en_2017-07-27-S1-commons	ParlaMint-GR_2017-07-27-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 159, 2017-07-27	2017-07-27	Unicameralism	17	2	-	159	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
