Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U1	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U2	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U3	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U4	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U5	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U6	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_herkel_19620814	Herkel, Andres	M	1962	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U7	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U8	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_ammas_19620225	Ammas, Andres	M	1962	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U9	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2016-10-25	ParlaMint-EE_2016-10-25_U10	XIII Parliament term, IV Session, Plenary Assembly regular meeting on Tuesday, 25.10.2016, 10:00	2016-10-25	Unicameralism	XIII Riigikogu	IV regular session	-	2016-10-25	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
