Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Guest	MP	Minister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VitRakusan.1978	Rakušan, Vít	M	1978	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PavelZacek.1969	Žáček, Pavel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-31-ps2021-025-01-001-001	ParlaMint-CZ_2022-05-31-ps2021-025-01-001-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-31	2022-05-31	Lower house	ps2021	-	ps2021/025	ps2021/025/01	ps2021/025/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
