Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	LucieSafrankova.1987	Šafránková, Lucie	F	1987	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	LucieSafrankova.1987	Šafránková, Lucie	F	1987	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarieJilkova.1977	Jílková, Marie	F	1977	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlesJuchelka.1976	Juchelka, Aleš	M	1976	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MilanFeranec.1964	Feranec, Milan	M	1964	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	JanJakob.1982	Jakob, Jan	M	1982	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	JanJakob.1982	Jakob, Jan	M	1982	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertKralicek.1977	Králíček, Robert	M	1977	
ParlaMint-CZ-en_2022-12-01-ps2021-045-06-005-091	ParlaMint-CZ_2022-12-01-ps2021-045-06-005-091.u21	Parliament of the Czech Republic, Chamber of Deputies, 2022-12-01	2022-12-01	Lower house	ps2021	-	ps2021/045	ps2021/045/06	ps2021/045/091	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
