Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Guest	MP	Minister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	IvanBartos.1980	Bartoš, Ivan	M	1980	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	IvanAdamec.1960	Adamec, Ivan	M	1960	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	IvanAdamec.1960	Adamec, Ivan	M	1960	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-004-004	ParlaMint-CZ_2022-07-07-ps2021-031-01-004-004.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/004	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PetrVrana.1975	Vrána, Petr	M	1975	
