Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-04-26-tweedekamer-6	ParlaMint-NL_2018-04-26-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 79, Session 6 (2018-04-26)	2018-04-26	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 79	Sitting 2018-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
