Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u12	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u13	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilDuthler	Duthler, Anne-Wil	F	1967	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u14	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u15	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u16	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilDuthler	Duthler, Anne-Wil	F	1967	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u17	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u18	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u19	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilDuthler	Duthler, Anne-Wil	F	1967	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u20	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u21	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u22	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	DiederikvanDijk	van Dijk, Diederik	M	1971	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u23	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilDuthler	Duthler, Anne-Wil	F	1967	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u24	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	DiederikvanDijk	van Dijk, Diederik	M	1971	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u25	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u26	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2018-04-17-eerstekamer-6	ParlaMint-NL_2018-04-17-eerstekamer-6.u27	Report of the meeting of the Dutch Upper House, Meeting 27, Session 6 (2018-04-17)	2018-04-17	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 27	Sitting 2018-04-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
