Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u1	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u2	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u3	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u4	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u5	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u6	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u7	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u8	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u9	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2018-12-04-tweedekamer-47	ParlaMint-NL_2018-12-04-tweedekamer-47.u10	Report of the meeting of the Dutch Lower House, Meeting 31, Session 47 (2018-12-04)	2018-12-04	Lower house	Meeting of the 29th Tweede Kamer	Session 47	Meeting 31	Sitting 2018-12-04	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
