Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	GeertWilders	Wilders, Geert	M	1963	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	GeertWilders	Wilders, Geert	M	1963	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	GeertWilders	Wilders, Geert	M	1963	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2018-09-05-tweedekamer-6	ParlaMint-NL_2018-09-05-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 105, Session 6 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
