Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	PaulSmeulders	Smeulders, Paul	M	1987	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2018-07-03-tweedekamer-35	ParlaMint-NL_2018-07-03-tweedekamer-35.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 35 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 35	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
