Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MauritsvonMartels	von Martels, Maurits	M	1960	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	CemLaçin	Laçin, Cem	M	1986	
ParlaMint-NL-en_2018-01-17-tweedekamer-8	ParlaMint-NL_2018-01-17-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 40, Session 8 (2018-01-17)	2018-01-17	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 40	Sitting 2018-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
