Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	-	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2017-02-23-31	ParlaMint-IS_2017-02-23-31.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-31, 23.02.2017.	2017-02-23	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AstaHelgadottir	Helgadóttir, Ásta Guðrún	F	1990	
