Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u13	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HarryvanderMolen	van der Molen, Harry	M	1980	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u14	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-9	ParlaMint-NL_2019-09-25-tweedekamer-9.u15	Report of the meeting of the Dutch Lower House, Meeting 5, Session 9 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
