Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BartSmals	Smals, Bart	M	1970	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BartSmals	Smals, Bart	M	1970	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-11-tweedekamer-4	ParlaMint-NL_2019-12-11-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 35, Session 4 (2019-12-11)	2019-12-11	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 35	Sitting 2019-12-11	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
