Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	SuzanneKröger	Kröger, Suzanne	F	1976	
ParlaMint-NL-en_2019-03-14-tweedekamer-6	ParlaMint-NL_2019-03-14-tweedekamer-6.u12	Report of the meeting of the Dutch Lower House, Meeting 63, Session 6 (2019-03-14)	2019-03-14	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 63	Sitting 2019-03-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
