Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-09-12-tweedekamer-4	ParlaMint-NL_2019-09-12-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 108, Session 4 (2019-09-12)	2019-09-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 108	Sitting 2019-09-12	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	SigridKaag	Kaag, Sigrid	F	1961	
