Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MauritsvonMartels	von Martels, Maurits	M	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MauritsvonMartels	von Martels, Maurits	M	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-4	ParlaMint-NL_2019-12-12-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 36, Session 4 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankFutselaar	Futselaar, Frank	M	1979	
