Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u11	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u12	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-25-tweedekamer-10	ParlaMint-NL_2019-09-25-tweedekamer-10.u13	Report of the meeting of the Dutch Lower House, Meeting 5, Session 10 (2019-09-25)	2019-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 5	Sitting 2019-09-25	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
