Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-03-26-tweedekamer-2	ParlaMint-NL_2019-03-26-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2019-03-26)	2019-03-26	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 66	Sitting 2019-03-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
