Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u1	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u2	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u3	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u4	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u5	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u6	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u7	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u8	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u9	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-12-tweedekamer-17	ParlaMint-NL_2019-12-12-tweedekamer-17.u10	Report of the meeting of the Dutch Lower House, Meeting 36, Session 17 (2019-12-12)	2019-12-12	Lower house	Meeting of the 29th Tweede Kamer	Session 17	Meeting 36	Sitting 2019-12-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
