Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BenteBecker	Becker, Bente	F	1985	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BenteBecker	Becker, Bente	F	1985	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	AttjeKuiken	Kuiken, Attje	F	1977	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	AttjeKuiken	Kuiken, Attje	F	1977	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u18	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2019-12-10-tweedekamer-2	ParlaMint-NL_2019-12-10-tweedekamer-2.u19	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2019-12-10)	2019-12-10	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 34	Sitting 2019-12-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
