Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u1	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u2	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u3	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u4	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u5	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u6	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u7	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u8	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u9	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u10	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Guest	notMP	Minister	CU	ChristenUnie	-	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u11	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-25	ParlaMint-NL_2021-11-11-tweedekamer-25.u12	Report of the meeting of the Dutch Lower House, Meeting 21, Session 25 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 25	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	PeterKwint	Kwint, Peter	M	1984	
