Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	-	Left	LammertvanRaan	van Raan, Lammert	M	1962	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	-	Left	LammertvanRaan	van Raan, Lammert	M	1962	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	-	Left	LammertvanRaan	van Raan, Lammert	M	1962	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-29-tweedekamer-7	ParlaMint-NL_2021-09-29-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2021-09-29)	2021-09-29	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 5	Sitting 2021-09-29	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
