Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u25	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u26	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u27	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u28	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u29	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SP	Socialistische Partij	-	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u30	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u31	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u32	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u33	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SP	Socialistische Partij	-	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2021-07-06-eerstekamer-11	ParlaMint-NL_2021-07-06-eerstekamer-11.u34	Report of the meeting of the Dutch Upper House, Meeting 44, Session 11 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 11	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
