Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	KathalijneBuitenweg	Buitenweg, Kathalijne	F	1970	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2021-02-04-tweedekamer-3	ParlaMint-NL_2021-02-04-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 53, Session 3 (2021-02-04)	2021-02-04	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 53	Sitting 2021-02-04	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
