Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	DerkBoswijk	Boswijk, Derk	M	1989	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	TjeerddeGroot	de Groot, Tjeerd	M	1968	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2021-04-14-tweedekamer-5	ParlaMint-NL_2021-04-14-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 68, Session 5 (2021-04-14)	2021-04-14	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 68	Sitting 2021-04-14	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
