Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-06-23-tweedekamer-3	ParlaMint-NL_2021-06-23-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 92, Session 3 (2021-06-23)	2021-06-23	Lower house	Meeting of the 29th Tweede Kamer	Session 3	Meeting 92	Sitting 2021-06-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
