Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Regular	MP	notMinister	GAL	Grandi Autonomie e Libertà	-	Centre-right	BaraniLucio	Barani, Lucio	M	1953	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Regular	MP	notMinister	GAL	Grandi Autonomie e Libertà	-	Centre-right	BaraniLucio	Barani, Lucio	M	1953	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	AirolaAlberto	Airola, Alberto	M	1970	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	AirolaAlberto	Airola, Alberto	M	1970	
ParlaMint-IT-en_2014-11-12-LEG17-Senato-sed-350	ParlaMint-IT_2014-11-12-LEG17-Senato-sed-350.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 350, Day (2014-11-12)	2014-11-12	Upper house	17 Legislatura	-	-	350 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
