Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	SibiliaCosimo	Sibilia, Cosimo	M	1959	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	SibiliaCosimo	Sibilia, Cosimo	M	1959	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	FedeliValeria	Fedeli, Valeria	F	1949	
ParlaMint-IT-en_2014-07-02-LEG17-Senato-sed-273	ParlaMint-IT_2014-07-02-LEG17-Senato-sed-273.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 273, Day (2014-07-02)	2014-07-02	Upper house	17 Legislatura	-	-	273 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	OrellanaLuisAlberto	Orellana, Luis Alberto	M	1961	
