Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	BerniniAnnaMaria	Bernini, Anna Maria	F	1965	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	BerniniAnnaMaria	Bernini, Anna Maria	F	1965	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	RomeoMassimiliano	Romeo, Massimiliano	M	1971	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-04-21-LEG18-Senato-sed-208	ParlaMint-IT_2020-04-21-LEG18-Senato-sed-208.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 208, Day (2020-04-21)	2020-04-21	Upper house	18 Legislatura	-	-	208 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	RomeoMassimiliano	Romeo, Massimiliano	M	1971	
