Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	MarcucciAndrea	Marcucci, Andrea	M	1965	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	MarcucciAndrea	Marcucci, Andrea	M	1965	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	RomeoMassimiliano	Romeo, Massimiliano	M	1971	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	RomeoMassimiliano	Romeo, Massimiliano	M	1971	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2020-10-27-LEG18-Senato-sed-268	ParlaMint-IT_2020-10-27-LEG18-Senato-sed-268.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 268, Day (2020-10-27)	2020-10-27	Upper house	18 Legislatura	-	-	268 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
