Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	BalboniAlberto	Balboni, Alberto	M	1959	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Guest	MP	Minister	-	-	-	-	BonafedeAlfonso	Bonafede, Alfonso	M	1976	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	BalboniAlberto	Balboni, Alberto	M	1959	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-07-LEG18-Senato-sed-215	ParlaMint-IT_2020-05-07-LEG18-Senato-sed-215.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 215, Day (2020-05-07)	2020-05-07	Upper house	18 Legislatura	-	-	215 Seduta	-	COVID	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	GalloneMariaAlessandra	Gallone, Maria Alessandra	F	1966	
