Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	PallBjornsson	Björnsson, Páll Valur	M	1962	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgiHjorvar	Hjörvar, Helgi	M	1967	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	ElsaArnardottir	Arnardóttir, Elsa Lára	F	1975	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OssurSkarphedinsson	Skarphéðinsson, Össur	M	1953	
ParlaMint-IS-en_2015-05-12-105	ParlaMint-IS_2015-05-12-105.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-105, 12.05.2015.	2015-05-12	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	WillumTHorsson	Þórsson, Willum Þór	M	1963	
