Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u1	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	-	Centre-right	LuísFilipeMontenegroCardosodeMoraisEsteves	Filipe Montenegro Cardoso de Morais Esteves, Luís	M	1973	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u2	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	-	Centre-right	TeresadeAndradeLealCoelho	de Andrade Leal Coelho, Teresa	F	1961	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u3	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	-	Centre-right	LuísFilipeMontenegroCardosodeMoraisEsteves	Filipe Montenegro Cardoso de Morais Esteves, Luís	M	1973	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u4	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	-	Centre-left	AlbertodeSousaMartins	de Sousa Martins, Alberto	M	1945	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u5	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	-	Centre-right	LuísFilipeMontenegroCardosodeMoraisEsteves	Filipe Montenegro Cardoso de Morais Esteves, Luís	M	1973	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u6	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	-	Centre-left	AlbertodeSousaMartins	de Sousa Martins, Alberto	M	1945	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u7	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	-	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u8	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	-	Centre-left	AlbertodeSousaMartins	de Sousa Martins, Alberto	M	1945	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u9	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	-	Centre-right	DuarteRogérioMatosVenturaPacheco	Rogério Matos Ventura Pacheco, Duarte	M	1965	
ParlaMint-PT-en_2015-10-23	ParlaMint-PT_2015-10-23.u10	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 1	2015-10-23	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 1	23.10.2015	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	-	Centre-left	AlbertodeSousaMartins	de Sousa Martins, Alberto	M	1945	
