Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-02-28-54-commissie-ic829x	ParlaMint-BE_2018-02-28-54-commissie-ic829x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-02-2018	2018-02-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
